Timestamp,Service_Title,Service_Description,Word_Count,Label,Numerical_Label,Statistics,Statistics
6/14/2022 23:20:16,FlightX,A Data Reasoning Fabric Service that provides vehicles with navigational data. Data includes open air routes and waypoints. This is an open source framework free for all vehicles.        ,28,Flight Operations,1,Label,Counts
6/14/2022 23:20:44,Emerg-N-C,"Our service provides emergency services to autonomous vehicles. Covered services include fueling, spare parts, and restricting air space. This is a tolled service.",23,Emergency,4,Flight Operations,100
6/14/2022 23:21:55,NightSky,NightSky is a weather informational platform that provides meteorological data to autonomous vehicles deployed in various regions. This service provides extensive support for meteorological data measuring vehicles.        ,27,Weather,3,Ground Operations,74
6/14/2022 23:22:22,Fire Service,A service that uses satellite imaging and meteorological data to restrict airspace in areas made hazardous by fires. This service runs automatically and is free to use.	,26,Emergency,4,Emergency,104
6/16/2022 10:43:18,Tile,Flight status and tracking service for delivery vehicles. Utilizes NOTAMs and PTP transactions to determine potential delays down and upstream. Also uses radio and GPS tracking for best real time updates.,31,Flight Operations,1,Weather,71
6/16/2022 10:55:08,Tablet,"Tugging service for large autonomous vehicles. We cover airports and vertical ports all over the world with over 65 countries covered and 300 airports. This service improves ground staff safety, flight efficiency, and decreases ground waiting time. ",37,Ground Operations,2,Ambiguous,100
6/16/2022 10:57:45,Fast Net,An automatic radio communication service that adheres to the ARINC protocols with adaptability in other regions communicating under SESAR protocols.,20,Flight Operations,1,Total,449
6/16/2022 14:39:15,Weather Kings,Automatic weather service providing air mass classification via on onboard sensors and regional meteorological satellite data. The service generates weekly models. ,21,Weather,3,,
6/16/2022 15:25:19,Tandem Weather,An advection mapping tool for automatic weather event detection. This service creates interpretations and sends the interpreted versions of generated advection maps.,22,Weather,3,Dataset Statistics,
6/17/2022 10:28:45,Weather IO,"Intertropical convergence zone mapping service using meteorological satellites and drones to provide accurate, real time modeling for tropical weather systems. ",20,Weather,3,Average Datapoint Length,31.14922049
6/17/2022 10:59:44,Standard Weather,"Standard weather package served from satellite data. Provided data includes dry-bulb temperature, wind speeds, deepening gradients, air moisture, currents, and more.",21,Weather,3,Median Datapoint Length,31
6/19/2022 23:13:38,Scion Weather,An attenuation countering software designed to protect radio equipment without adding weight or additional cost. This service is ideal for large drone fleets requiring optimization and cost efficiency.,28,Weather,3,Maximum Length,44
